c_personid,c_entry_code,c_year
1139,36,1109
1144,36,1106
1149,36,1128
1152,36,1100
1154,165,1097
1155,36,1118
1156,36,1151
1157,36,1121
1158,36,1124
1159,165,1100
1160,165,1124
1161,36,1115
1166,36,1059
1168,165,1124
1171,36,1057
1174,36,1053
1175,36,1046
1176,165,985
1178,36,1070
1183,36,1145
1194,36,1124
1197,36,1038
1200,36,1057
1201,36,1046
1202,36,1067
1203,36,1000
1206,36,1106
1207,36,1008
1208,165,1024
1209,36,1019
1216,36,1034
1217,36,1121
1218,36,949
1220,36,1046
1229,36,985
1230,36,1034
1232,36,1005
1233,36,1112
1236,36,1053
1238,36,1124
1240,36,985
1243,36,1145
1244,36,1073
1245,36,1094
1249,36,1115
1251,165,998
1252,36,1106
1253,36,1012
1258,165,1079
1260,36,1109
1261,36,1034
1262,36,1121
1266,36,980
1272,36,1112
1273,36,1049
1277,36,983
1278,36,1106
1280,36,1085
1286,36,1148
1291,36,1109
1292,165,1038
1296,36,1121
1309,165,1057
1310,165,1094
1311,36,1049
1313,165,1124
1314,36,1042
1323,36,1070
1324,165,1049
1326,36,1053
1327,165,1049
1330,36,992
1336,36,1008
1340,36,1135
1346,36,1027
1349,36,983
1353,36,1034
1355,36,992
1356,36,1067
1357,36,1065
1358,36,1076
1359,36,1027
1360,36,1106
1361,36,989
1368,36,1012
1370,36,1057
1372,36,1053
1378,36,1012
1379,36,1109
1384,36,1030
1385,36,992
1391,36,1015
1397,36,1012
1398,36,1065
1400,165,1065
1401,36,1027
1407,36,1121
1408,36,1053
1409,36,1049
1411,36,1027
1412,36,1118
1414,36,1091
1418,36,1132
1419,36,1124
1420,36,941
1422,36,983
1429,36,1079
1432,36,1073
1436,36,1109
1437,165,1038
1438,36,1008
1439,36,1118
1440,36,983
1443,36,1042
1444,36,1118
1445,165,1065
1448,36,1118
1449,36,1049
1450,36,1063
1452,36,1030
1455,36,1038
1457,36,1145
1459,36,1112
1460,36,1115
1462,36,961
1465,36,1106
1473,165,1079
1478,36,1151
1479,36,1106
1480,36,1070
1483,36,1065
1484,36,973
1486,36,1005
1488,36,1038
1489,36,1027
1492,36,1124
1493,36,1057
1494,36,1124
1505,36,1042
1510,165,1046
1511,36,1001
1517,165,1076
1519,165,1103
1521,165,1049
1524,165,1073
1525,165,992
1531,165,1027
1535,165,1065
1537,165,985
1539,165,1121
1541,165,1030
1542,165,1065
1547,165,1065
1555,165,1046
1557,36,941
1558,36,1024
1562,36,1115
1563,36,980
1565,165,1024
1577,36,978
1579,36,967
1581,36,1128
1587,39,1079
1589,36,1106
1590,36,1118
1591,36,1124
1592,36,1124
1593,36,1030
1594,36,1100
1597,36,1094
1598,36,1094
1600,165,998
1602,36,1132
1608,36,1118
1611,36,1015
1615,36,978
1616,36,1124
1617,36,1030
1624,36,1070
1625,36,1076
1626,36,1118
1628,36,1142
1629,36,1128
1633,36,1000
1634,36,1000
1635,36,1030
1636,36,1053
1637,36,1138
1641,36,992
1645,36,1057
1646,36,1015
1647,36,1059
1648,36,1079
1649,36,1070
1651,36,1030
1653,36,1034
1657,36,1067
1658,36,1065
1661,36,1034
1681,36,985
1703,36,1049
1705,36,1053
1706,36,1057
1707,36,1057
1714,36,1148
1716,36,1008
1717,36,1038
1719,36,1124
1726,36,1138
1730,36,1008
1737,36,1118
1746,36,1076
1748,36,1063
1750,36,978
1751,36,1065
1754,36,1053
1755,36,1097
1756,36,1085
1757,36,1106
1758,36,1112
1759,36,1135
1760,36,1061
1762,36,1042
1763,165,1118
1764,36,980
1765,36,1042
1768,36,992
1771,36,1030
1772,36,1100
1781,36,1019
1786,36,1124
1787,36,1138
1789,36,1063
1790,36,1067
1794,36,1015
1798,36,980
1807,36,1132
1818,36,1118
1826,36,1132
1832,39,1084
1834,36,1034
1835,36,1019
1836,36,1109
1837,165,1100
1842,36,1082
1845,36,1042
1846,36,1128
1847,36,1030
1852,36,1135
1853,36,977
1856,36,1019
