c_personid,c_index_year,c_deathyear,c_notes
187790,716,820,"187789, Rule 14."
187799,716,820,"187789, Rule 14."
187802,686,789,"159347, Rule 14."
187803,716,816,"187802, Rule 14."
187805,716,816,"159348, Rule 14."
187827,716,816,"159348, Rule 14."
187828,716,816,"159348, Rule 14."
187837,716,816,"159348, Rule 14."
187848,716,816,"159348, Rule 14."
187855,686,789,"159347, Rule 14."
187856,716,816,"187855, Rule 14."
187862,716,816,"187855, Rule 14."
187871,686,798,"167435, Rule 14."
187872,716,825,"187871, Rule 14."
187873,716,825,"187871, Rule 14."
187874,686,798,"167435, Rule 14."
187875,716,825,"187874, Rule 14."
187876,716,825,"187874, Rule 14."
187877,686,798,"167435, Rule 14."
187878,716,825,"187877, Rule 14."
187879,716,825,"187877, Rule 14."
187880,716,825,"187877, Rule 14."
187881,716,825,"187877, Rule 14."
187882,686,798,"167435, Rule 14."
187883,716,825,"187882, Rule 14."
187891,686,798,"167435, Rule 14."
187892,716,825,"187891, Rule 14."
187961,737,853,"186914, Rule 14."
187963,797,907,"161068, Rule 14."
187964,767,880,"187961, Rule 14."
187965,767,880,"187961, Rule 14."
187966,767,880,"187961, Rule 14."
187967,797,907,"187966, Rule 14."
187968,827,934,"187967, Rule 14."
187969,797,907,"187966, Rule 14."
187970,827,934,"187969, Rule 14."
187975,707,816,"13627, Rule 14."
189030,752,873,"189029, Rule 14."
189031,782,900,"189030, Rule 14."
189475,764,865,"189474, Rule 14."
189476,764,865,"189474, Rule 14."
189477,794,902,"189475, Rule 14."
189541,689,794,"189542, Rule 14."
189570,662,765,"194168, Rule 14."
189586,738,843,"189585, Rule 14."
189603,833,933,"176963, Rule 14."
189650,692,802,"189570, Rule 14."
189781,640,783,"140553, Rule 9."
189849,729,832,"189848, Rule 14."
189857,657,758,"31421, Rule 14."
189858,657,758,"31421, Rule 14."
189859,687,795,"189858, Rule 14."
189860,687,795,"189858, Rule 14."
189861,687,795,"189857, Rule 14."
189862,687,795,"189857, Rule 14."
189863,687,795,"189857, Rule 14."
190815,660,781,"190812, Rule 18."
193649,772,891,"145698, Rule 8."
193650,772,891,"145698, Rule 8."
193651,772,891,"145698, Rule 8."
191055,712,817,"145698, Rule 9."
191931,701,801,"191930, Rule 14."
191935,701,801,"191934, Rule 14."
192274,590,736,"178267, Rule 14."
192275,620,773,"192274, Rule 14."
192606,687,795,"189857, Rule 14."
192607,717,832,"192606, Rule 14."
192608,717,832,"192606, Rule 14."
192609,717,832,"192606, Rule 14."
192973,728,829,"192972, Rule 15."
193562,709,837,"159700, Rule 15."
193646,772,891,"145698, Rule 8."
193876,681,792,"33001, Rule 18."
193913,591,699,"93608, Rule 14."
193992,663,765,"31301, Rule 15."
193995,723,839,"31301, Rule 14."
193996,723,839,"31301, Rule 14."
193997,723,839,"31301, Rule 14."
193998,723,839,"31301, Rule 14."
193999,723,839,"31301, Rule 14."
194025,608,711,"164927, Rule 14."
194026,668,785,"145917, Rule 14."
194170,692,802,"189570, Rule 14."
194287,635,768,"194286, Rule 14."
194288,665,805,"194287, Rule 14."
194290,665,805,"194287, Rule 14."
194325,673,778,"150489, Rule 14."
194356,698,802,"171239, Rule 14."
194524,648,769,"146159, Rule 9."
194623,703,803,"189652, Rule 18."
194776,724,832,"191376, Rule 14."
194777,754,869,"194776, Rule 14."
194893,653,762,"151664, Rule 14."
194894,683,799,"194893, Rule 14."
195068,659,761,"179247, Rule 14."
195425,738,840,"189585, Rule 14."
195980,774,884,"185619, Rule 13."
195981,744,847,"185619, Rule 8."
196112,691,796,"94699, Rule 14."
196114,691,796,"94699, Rule 14."
196115,691,796,"94699, Rule 14."
196116,691,796,"94699, Rule 14."
438373,1696,1824,Rule 6.
438389,1718,1833,Rule 5.
438400,1714,1822,Rule 6.
438892,1365,1648,Rule 6.
439013,1314,1804,Rule 5.
439068,1733,1944,Rule 6.
439287,1066,1363,Rule 6.
